date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:55	33608/33608	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Apr%202022%2009:58:26%20GMT	https://yodacoach.webflow.io/	C:/My%20Web%20Sites/justice/yodacoach.webflow.io/index.html	(from )
17:59:01	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2016%20Apr%202022%2009:58:26%20GMT	https://yodacoach.webflow.io/robots.txt		(from )
17:59:22	70931/70931	---M-Z	200	added ('OK')	text/css	etag:%2201154a032c78ab3c7f5da8f38af84a7d%22	https://assets.website-files.com/62541755f55ba06a6275e55f/css/yodacoach.webflow.0201250ad.css	C:/My%20Web%20Sites/justice/assets.website-files.com/62541755f55ba06a6275e55f/css/yodacoach.webflow.0201250ad.css	(from https://yodacoach.webflow.io/)
17:59:26	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/justice/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://yodacoach.webflow.io/)
17:59:28	213643/213643	---M-Z	200	added ('OK')	application/javascript	etag:%2262595b93-13f81%22	https://mc.yandex.ru/metrika/tag.js	C:/My%20Web%20Sites/justice/mc.yandex.ru/metrika/tag.js	(from https://yodacoach.webflow.io/)
17:59:30	335505/335505	---M--	200	added ('OK')	image/png	etag:%22e4cadb93f9019a46069675ee220b58da%22	https://assets.website-files.com/62541755f55ba06a6275e55f/62541755f55ba0a5a675e573_yoda-screen-1.png	C:/My%20Web%20Sites/justice/assets.website-files.com/62541755f55ba06a6275e55f/62541755f55ba0a5a675e573_yoda-screen-1.png	(from https://yodacoach.webflow.io/)
17:59:30	106221/106221	---M--	200	added ('OK')	image/png	etag:%224e18e9fb36d83695fab252e1e60391f4%22	https://assets.website-files.com/62541755f55ba06a6275e55f/62541755f55ba003d675e572_yoda-screen-2.png	C:/My%20Web%20Sites/justice/assets.website-files.com/62541755f55ba06a6275e55f/62541755f55ba003d675e572_yoda-screen-2.png	(from https://yodacoach.webflow.io/)
17:59:35	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=62541755f55ba06a6275e55f	C:/My%20Web%20Sites/justice/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c83f26.js	(from https://yodacoach.webflow.io/)
17:59:37	600863/600863	---M-Z	200	added ('OK')	text/javascript	etag:%22255af38800821375e906c1f64d784fd2%22	https://assets.website-files.com/62541755f55ba06a6275e55f/js/webflow.502f3c1ca.js	C:/My%20Web%20Sites/justice/assets.website-files.com/62541755f55ba06a6275e55f/js/webflow.502f3c1ca.js	(from https://yodacoach.webflow.io/)
17:59:37	2070282/2070282	---M--	200	added ('OK')	image/png	etag:%22e5e189165e5efbc600596d661722928b%22	https://assets.website-files.com/62541755f55ba06a6275e55f/62541755f55ba06b5c75e574_yoda-screen-3.png	C:/My%20Web%20Sites/justice/assets.website-files.com/62541755f55ba06a6275e55f/62541755f55ba06b5c75e574_yoda-screen-3.png	(from https://yodacoach.webflow.io/)
